identifier,pols_balance
pln8kwomKj3V98PSy19PezE7Q6DMWd,11.17
VD2QPOjzmeyRLY3SaO94GXZE57wbnY,0.000256537
8jvnOaZbWJ2705GSAYxg4yAdXRQYwP,11.17068811
yGwbdPR2mnDO9m2SaBxrA35oeBE8gN,13.58
6RgWZDmGBOj1L2pS4295PElQw2paAN,260
yaMAq4mz5XQNxaqSKVx1vPRnbD3EOW,265.8480097
BqpzWQ1EX37Z9k5SPnLPJyabVDAvM5,762.6975
6QvbPdjMEgKyxwVSnV9OV381GRzBoq,3000
pRZPJGME2rVw9eESXr9BzvXn5N3dab,100.0183663
XylVvMQDzk53xEOS2B0roweA7J8E1G,3003.558394
NZGyKMre28boL1gSQr9YWdXJR4j3kE,4000
Yn2qB54ba7DR0A5SBK0k8ZvJ6lAeow,173.2560677
eG6JEOgajVz79MVSO4x2RXo8yYwM4A,689.6168107
pln8kwomKj3V98PSyR9PezE7Q6DMWd,211.4959416
VD2QPOjzmeyRLY3Sa794GXZE57wbnY,0.00284063
8jvnOaZbWJ2705GSAgxg4yAdXRQYwP,3040
yGwbdPR2mnDO9m2SadxrA35oeBE8gN,19081.27956
6RgWZDmGBOj1L2pS4B95PElQw2paAN,3011.170688
djB4nO3YklpELyRSer0XNZz8w57M1q,8.471185915
eVA7ngYQ2WpKxORSJM9y54PaOj1ZGb,184.4509266
qRvg1Be2r6GaLoOSpMLYKdp4nwmlA7,111.0194739
vJGzRrdBgmAlLZWSwk0PkqpnZwj7oD,17.96045
2PJ548MpQrNX0JjSdE0eDl6GzbaRqn,57.21699046
VqAbzgR82wre9zlSrBL1OaZEkpyW53,124.4332875
4PX5n3wv6qlrxjYSKl9Zp2M7VWygda,10
V4EYmXOMvlzW07qSdMxdyZp7JD6Ne8,0.000000696
27vwVn1Q64YO0BmS6mL3BRAjl8maMD,3005
vG4oe5E2qnAO9VQSnK0XrYplam6V3k,651.814685
wq28ZBQl1AnWx64SNe0M4pozDegOJb,1033.177313
rakEJwN1dWeYLRXSad928Dy3zBvP7K,11.17068811
wogb2YrQ6pJAxlmSrRLqN8B3eavOml,60.7668157
4m7DnNKabZAO9vBSX198Myz6J53vWg,255
KabnJ8mVyM3G0XNSmAxw5ZR1eDNW7Y,59.24168166
